ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
3,Melbourne,Great Ocean Road Open,3/02/2021,ATP250,Outdoor,Hard,2nd Round,3,Sinner J.,Vukic A.,36,195,1464,334,6,2,6,4,,,,,,,2,0,Completed,1.14,5.5,1.16,6.12,1.16,8.1,1.13,5.91
3,Melbourne,Great Ocean Road Open,3/02/2021,ATP250,Outdoor,Hard,2nd Round,3,Caruso S.,Sandgren T.,76,50,858,1088,6,4,6,7,6,1,,,,,2,1,Completed,1.8,1.9,1.85,2.05,1.89,2.22,1.8,2.01
3,Melbourne,Great Ocean Road Open,3/02/2021,ATP250,Outdoor,Hard,2nd Round,3,Bedene A.,Sweeny D.,58,797,1055,22,6,0,6,4,,,,,,,2,0,Completed,1.14,5.5,1.13,6.91,1.18,6.91,1.14,5.56
3,Melbourne,Great Ocean Road Open,3/02/2021,ATP250,Outdoor,Hard,2nd Round,3,Hurkacz H.,Torpegaard M.,29,193,1735,340,6,4,6,3,,,,,,,2,0,Completed,1.22,4,1.27,4.17,1.29,4.33,1.25,3.92
3,Melbourne,Great Ocean Road Open,3/02/2021,ATP250,Outdoor,Hard,2nd Round,3,Kecmanovic M.,Kwon S.W.,42,97,1328,768,6,3,6,4,,,,,,,2,0,Completed,1.53,2.37,1.67,2.32,1.69,2.4,1.63,2.26
3,Melbourne,Great Ocean Road Open,3/02/2021,ATP250,Outdoor,Hard,2nd Round,3,Travaglia S.,Querrey S.,71,51,894,1085,6,7,6,3,6,4,,,,,2,1,Completed,2.1,1.66,2.22,1.73,2.4,1.77,2.18,1.68
3,Melbourne,Great Ocean Road Open,3/02/2021,ATP250,Outdoor,Hard,2nd Round,3,Cuevas P.,Haase R.,70,198,927,330,7,5,6,3,,,,,,,2,0,Completed,2.2,1.61,2.22,1.73,2.4,1.73,2.19,1.67
3,Melbourne,Great Ocean Road Open,3/02/2021,ATP250,Outdoor,Hard,2nd Round,3,Thompson J.,Herbert P.H.,52,84,1084,822,6,4,3,6,6,3,,,,,2,1,Completed,1.57,2.25,1.67,2.33,1.74,2.4,1.65,2.22
3,Melbourne,Great Ocean Road Open,3/02/2021,ATP250,Outdoor,Hard,2nd Round,3,Monteiro T.,Ebden M.,83,320,824,141,6,7,6,4,6,3,,,,,2,1,Completed,1.53,2.37,1.66,2.35,1.71,2.88,1.6,2.32
3,Melbourne,Great Ocean Road Open,3/02/2021,ATP250,Outdoor,Hard,2nd Round,3,Van De Zandschulp B.,Majchrzak K.,159,109,423,690,6,4,3,6,6,4,,,,,2,1,Completed,2,1.72,2.26,1.7,2.3,1.77,2.12,1.71
3,Melbourne,Great Ocean Road Open,3/02/2021,ATP250,Outdoor,Hard,2nd Round,3,Opelka R.,Stakhovsky S.,40,201,1402,329,7,6,6,4,,,,,,,2,0,Completed,1.33,3.25,1.34,3.54,1.36,3.6,1.31,3.35
3,Melbourne,Great Ocean Road Open,3/02/2021,ATP250,Outdoor,Hard,2nd Round,3,Bublik A.,O Connell C.,45,121,1220,565,7,6,6,7,6,4,,,,,2,1,Completed,1.5,2.5,1.53,2.65,1.57,2.7,1.51,2.53
3,Melbourne,Great Ocean Road Open,3/02/2021,ATP250,Outdoor,Hard,2nd Round,3,Vilella Martinez M.,Basilashvili N.,188,39,346,1405,7,5,6,3,,,,,,,2,0,Completed,2.25,1.57,2.14,1.78,2.37,1.78,2.2,1.66
3,Melbourne,Great Ocean Road Open,3/02/2021,ATP250,Outdoor,Hard,2nd Round,3,Khachanov K.,Purcell M.,20,238,2245,241,7,6,6,3,,,,,,,2,0,Completed,1.14,5.5,1.15,6.16,1.17,6.25,1.13,5.71
3,Melbourne,Great Ocean Road Open,3/02/2021,ATP250,Outdoor,Hard,2nd Round,3,Alcaraz C.,Goffin D.,146,14,464,2600,6,3,6,3,,,,,,,2,0,Completed,3.25,1.33,3.55,1.34,3.65,1.5,3.32,1.32
3,Melbourne,Great Ocean Road Open,3/02/2021,ATP250,Outdoor,Hard,2nd Round,3,Anderson K.,Stebe C.M.,82,128,825,534,6,4,6,2,,,,,,,2,0,Completed,1.2,4.33,1.22,4.79,1.26,4.8,1.2,4.38
